"Aircraft","Movement Type","From Stand","To Stand","Date","Time","Notes"
"G-737 - Boeing 737-800","Tow","31","305L","","",""
"G-787 - Boeing 787-8 Dreamliner","Tow","213","26","","",""
"G-789 - Boeing 787-9 Dreamliner","Tow","81","214","","",""
"G-GTAWW - Boeing 737-800","Tow","231L","302L","","",""
"G-GTUKT - Boeing 737-800","Tow","01","305","","",""
"G-GTUIM","Tow","80","203","","",""
"G-GTUMM","Tow","32","305","","",""
"G-GTUMZ","Tow","231L","303","","",""
"G-GTUOA","Tow","308L","71","","",""
"G-GTUMM","Tow","31","109","","",""
"G-GTUOA","Tow","71","215","","","Cancelled"
"G-GTUOA","Tow","231L","113R","","",""
"G-GTUIM","Tow","27","210","","",""
"G-GTUMN","Tow","231L","215","","",""
"G-GTUWM","Tow","31","307","02.04","",""
"G-GTUMS","Tow","71","207","02.04","",""
"G-GTUMD","Tow","73","213R","03.04","",""
"G-GTUMK","Tow","909","101","03.04","",""
"G-GTUMK","Tow","101","901","04.04","",""
"G-GTUPC","Tow","304L","32","04.04","",""
"G-GTUMC","Tow","209L","10","04.04","",""
"G-GTUML","Tow","306L","24","05.04","",""
"G-GTAWP","Tow","101","24","14.04","",""
"G-GTUPD","Tow","214","113","14.04","",""
"G-GTAWU","Tow","6","308L","04.05.26","",""
